start_date,end_date,degree,university,department,location,pi,dissertation
2014,2021 (expected),Ph.D.,UC Santa Barbara,"Ecology, Evolution and Marine Biology","Santa Barbara, CA",Craig Carlson,"Accumulation, bioavailability, and fate of dissolved organic carbon in the Northwest Atlantic"
2009,2013,B.S. with Distinction,UC Santa Barbara,"Ecology, Evolution and Marine Biology","Santa Barbara, CA",Peter Collins and Craig Carlson,Mucosal microbial assemblages of wild and cultured intertidal finfish
